S.No.	 Experimental_Method 	Organism	 Cell_Type/Tissue 	 Genome_Version 	 Disease/Target_Pathway 	Samples	Replicates	PMID	 Publication_Journal 	 Publication_Year 	GSE	GSM	TF/Histone_Mark	 Cistrome_ID 	KEGG_ID	Metadata
76	ChIP-Seq	 Homo  sapiens 	Crypt5 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058063	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2060"
77	ChIP-Seq	 Homo  sapiens 	COLO205 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058064	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2061"
78	ChIP-Seq	 Homo  sapiens 	HCT116 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058065	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2062"
79	ChIP-Seq	 Homo  sapiens 	SW480 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058066	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2063"
80	ChIP-Seq	 Homo  sapiens 	V1009 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058067	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2064"
81	ChIP-Seq	 Homo  sapiens 	V1024 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058068	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2065"
82	ChIP-Seq	 Homo  sapiens 	V1058 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058069	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2066"
83	ChIP-Seq	 Homo  sapiens 	V1074 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058070	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2067"
84	ChIP-Seq	 Homo  sapiens 	V1106 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058071	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2068"
85	ChIP-Seq	 Homo  sapiens 	V206 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058072	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2069"
86	ChIP-Seq	 Homo  sapiens 	V389 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058073	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2070"
87	ChIP-Seq	 Homo  sapiens 	V410 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058074	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2071"
88	ChIP-Seq	 Homo  sapiens 	V411 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058075	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2072"
89	ChIP-Seq	 Homo  sapiens 	V429 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058076	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2073"
90	ChIP-Seq	 Homo  sapiens 	V432 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058077	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2074"
91	ChIP-Seq	 Homo  sapiens 	V456 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058078	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2075"
92	ChIP-Seq	 Homo  sapiens 	V457 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058079	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2076"
93	ChIP-Seq	 Homo  sapiens 	V481 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058080	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2077"
94	ChIP-Seq	 Homo  sapiens 	V503 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058081	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2078"
95	ChIP-Seq	 Homo  sapiens 	V576 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058082	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2079"
96	ChIP-Seq	 Homo  sapiens 	V784 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058083	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2080"
97	ChIP-Seq	 Homo  sapiens 	V8 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058084	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2081"
98	ChIP-Seq	 Homo  sapiens 	V852 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058085	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2082"
99	ChIP-Seq	 Homo  sapiens 	V855 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058086	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2083"
100	ChIP-Seq	 Homo  sapiens 	V866 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058087	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2084"
101	ChIP-Seq	 Homo  sapiens 	V868 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058088	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2085"
102	ChIP-Seq	 Homo  sapiens 	V940 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058089	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2086"
103	ChIP-Seq	 Homo  sapiens 	V968 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058090	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2087"
104	ChIP-Seq	 Homo  sapiens 	CRC_17A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058091	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2088"
105	ChIP-Seq	 Homo  sapiens 	CRC_23A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058092	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2089"
106	ChIP-Seq	 Homo  sapiens 	CRC_6A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058093	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2090"
